Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,C_Small,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123_Reversible,18,D_Small,
D19,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm_Reversible,1,WS2812B,
"J1, J2",TestPoint_Pad_2.0x4.0mm_Reversible,2,Conn_01x01_Pin,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",Cherry_ULP_SMD_Double_Sided,18,SW_Push_45deg,
SW19,SW_SPDT_MSK-12C02_Reversible,1,SW_SPDT,C2911519
SW20,SW_Push_SPST_EVQ-PU_Reversible,1,SW_Push_Dual,C79175
U2,MODULE_Seeed_XIAO_nRF52840_THT_Reversible,1,XIAO-nRF52840-SMD,
